ServiceType,Type,Quality,SKU,Description,Price
Managed Services,Commerx Cloud,Power,MS-CS-CMX.POWER.100W.01.01,"EDGECONNECT (per Rack Unit including 100Watts of redundant power, redundant GigE ports)",179
Managed Services,Commerx Cloud,Networking,MS-CS-CMX.INT.T100G.01.01,INTERNETCONNECT - Transfer (per 100 Gbyte),8
Managed Services,Commerx Cloud,Networking,MS-CS-CMX.INT.TRM.01.01,INTERNETCONNECT - Transit (per Mbit),8
Managed Services,Commerx Cloud,Networking,MS-CS-CMX.INT.IP.01.01,INTERNETCONNECT - Public IP Address (per IPv4 address),4
Managed Services,Discount,-,MS-DSK-0000,One Time Service Discount,0
Managed Services,End User,Bronze (9x5),MS-FM-7010,Managed Workstation (Windows) Bronze,30
Managed Services,End User,Bronze (9x5),MS-FM-7011,"Managed Workstation (Windows),High Volume >200 Bronze",22
Managed Services,End User,Bronze (9x5),MS-FM-7012,"Managed Workstation, Ultra High Volume >1000 Bronze",10
Managed Services,End User,Bronze (9x5),MS-FM-7013,Managed Printer Bronze,15
Managed Services,End User,Bronze (9x5),MS-FM-7014,"Managed Printer, High Volume >200 Bronze",12
Managed Services,End User,Bronze (9x5),MS-FM-7015,"Managed Printer, Ultra High Volume >1000 Bronze",8
Managed Services,End User,Bronze (9x5),MS-FM-7020,Managed Workstation (Linux) Bronze,30
Managed Services,End User,Bronze (9x5),MS-FM-7021,"Managed Workstation (Linux),High Volume >200 Bronze",22
Managed Services,End User,Bronze (9x5),MS-FM-7030,Managed Workstation (Mac) Bronze,30
Managed Services,End User,Bronze (9x5),MS-FM-7031,"Managed Workstation (Mac),High Volume >200 Bronze",22
Managed Services,End User,Gold (24x7),MS-FM-7010 .G,Managed Workstation (Windows) Gold,50
Managed Services,End User,Gold (24x7),MS-FM-7011.G,"Managed Workstation (Windows),High Volume >200 Gold",40
Managed Services,End User,Gold (24x7),MS-FM-7012.G,"Managed Workstation, Ultra High Volume >1000 Gold",18
Managed Services,End User,Gold (24x7),MS-FM-7020.G,Managed Workstation (Linux) Gold,50
Managed Services,End User,Gold (24x7),MS-FM-7021.G,"Managed Workstation (Linux),High Volume >200 Gold",40
Managed Services,End User,Gold (24x7),MS-FM-7030.G,Managed Workstation (Mac) Gold,80
Managed Services,End User,Gold (24x7),MS-FM-7031.G,"Managed Workstation (Mac),High Volume >200 Gold",40
Managed Services,End User,Help Desk,MS-HD-0001,User Support and Help Desk Services Bronze (9x5),40
Managed Services,End User,Help Desk,MS-HD-0001.S,User Support and Help Desk Services Silver (12x5),45
Managed Services,End User,Help Desk,MS-HD-0001.G,User Support and Help Desk Services Gold (24x7),50
Managed Services,End User,Help Desk,MS-HD-0001.P+,User Support and Help Desk Services Premium+ (24x7) Includes Hotel and Mobile Support,60
Managed Services,End User,Help Desk,PS-MS-HD-IMG-0001,Laptop/Desktop Imaging,210
Managed Services,End User,Help Desk,PS-MS-HD-OB-0001,Laptop/Desktop Onboarding,0
Managed Services,End User,Silver (12x5),MS-FM-7010 .S,Managed Workstation (Windows) Silver,40
Managed Services,End User,Silver (12x5),MS-FM-7011.S,"Managed Workstation (Windows),High Volume >200 Silver",27
Managed Services,End User,Silver (12x5),MS-FM-7012.S,"Managed Workstation, Ultra High Volume >1000 Silver",12
Managed Services,End User,Silver (12x5),MS-FM-7013.S,Managed Printer Silver,20
Managed Services,End User,Silver (12x5),MS-FM-7014.S,"Managed Printer, High Volume >200 Silver",15
Managed Services,End User,Silver (12x5),MS-FM-7015.S,"Managed Printer, Ultra High Volume >1000 Silver",12
Managed Services,End User,Silver (12x5),MS-FM-7020.S,Managed Workstation (Linux) Silver,40
Managed Services,End User,Silver (12x5),MS-FM-7021.S,"Managed Workstation (Linux),High Volume >200 Silver",27
Managed Services,End User,Silver (12x5),MS-FM-7030.S,Managed Workstation (Mac) Silver,40
Managed Services,End User,Silver (12x5),MS-FM-7031.S,"Managed Workstation (Mac),High Volume >200 Silver",27
Managed Services,End User,Silver (12x5),MS-FM-7040.S,Managed Mobile Device Silver,20
Managed Services,End User,Bronze (9x5),MS-FM-7040,Managed Mobile Device Bronze,16
Managed Services,Generic,Bronze (9x5),MS-FM-2010,Server Monitoring and Response Bronze (Response is paid by the incident),55
Managed Services,Generic,Bronze (9x5),MS-FM-2011,Network Monitoring and Response Bronze (Response is paid by the incident),55
Managed Services,Generic,Bronze (9x5),MS-FM-2012,Level 1 Incident Response (Base) Bronze,500
Managed Services,Generic,Bronze (9x5),MS-FM-2013,Level 1 Incident Response (60 incidents) (1 incident <15min) Bronze,1500
Managed Services,Generic,Bronze (9x5),MS-FM-2014,Level 1 Incident Response (per incident) (1 incident <15min) Bronze,25
Managed Services,Generic,Bronze (9x5),MS-FM-2015-BDL,Managed Services (Server/DR Replication/DR testing) Bundle Bronze,750
Managed Services,End User,Gold (24x7),MS-FM-7040.G,Managed Mobile Device Gold,30
Managed Services,Generic,Gold (24x7),MS-FM-2010.G,Server Monitoring and Response (Response is paid by the incident) Gold,105
Managed Services,Generic,Gold (24x7),MS-FM-2011.G,Network Monitoring and Response (Response is paid by the incident) Gold,105
Managed Services,Generic,Gold (24x7),MS-FM-2012.G,Level 1 Incident Response (Base) Gold,750
Managed Services,Generic,Gold (24x7),MS-FM-2013.G,Level 1 Incident Response (60 incidents) (1 incident <15min) Gold,4500
Managed Services,Generic,Gold (24x7),MS-FM-2014.G,Level 1 Incident Response (per incident) (1 incident <15min) Gold,75
Managed Services,Generic,Gold (24x7),MS-FM-2015-BDL.G,Managed Services (Server/DR Replication/DR testing) Bundle Gold,1000
Managed Services,Generic,Silver (12x5),MS-FM-2010.S,Server Monitoring and Response (Response is paid by the incident) Silver,80
Managed Services,Generic,Silver (12x5),MS-FM-2011.S,Network Monitoring and Response (Response is paid by the incident) Silver,80
Managed Services,Generic,Silver (12x5),MS-FM-2012.S,Level 1 Incident Response (Base) Silver,600
Managed Services,Generic,Silver (12x5),MS-FM-2013.S,Level 1 Incident Response (60 incidents) (1 incident <15min) Silver,3000
Managed Services,Generic,Silver (12x5),MS-FM-2014.S,Level 1 Incident Response (per incident) (1 incident <15min) Silver,50
Managed Services,Generic,Silver (12x5),MS-FM-2015-BDL.S,Managed Services (Server/DR Replication/DR testing) Bundle Silver,1250
Professional Services,Hourly Rates,-,PS-TM-L1.1,Technician Hourly Rate,110
Professional Services,Hourly Rates,-,PS-TM-L1.M4T,Technician Hourly Rate M4 Inc Trvl.,440
Professional Services,Hourly Rates,-,PS-TM-L1.M2R,Technician Hourly Rate M2 Remote,220
Professional Services,Hourly Rates,-,PS-TM-L2.1,Senior Technician Hourly Rate,135
Professional Services,Hourly Rates,-,PS-TM-L2.M4T,Senior Technician Hourly Rate M4 Inc Trvl.,540
Professional Services,Hourly Rates,-,PS-TM-L2.M2R,Senior Technician Hourly Rate M2 Remo.,270
Professional Services,Hourly Rates,-,PS-TM-L3.1,Technical Consultant Hourly Rate,170
Professional Services,Hourly Rates,-,PS-TM-L3.M4T,Technical Consultant Hourly Rate M4 Inc Trvl.,680
Professional Services,Hourly Rates,-,PS-TM-L3.M2R,Technical Consultant Hourly Rate M2 Remote,340
Professional Services,Hourly Rates,-,PS-TM-L4.1,Senior Technical Consultant Hourly Rate,195
Professional Services,Hourly Rates,-,PS-TM-L4.M4T,Senior Technical Consultant Hourly Rate M4 Inc Trvl.,780
Professional Services,Hourly Rates,-,PS-TM-L4.M2R,Senior Technical Consultant Hourly Rate M2 Remote,390
Professional Services,Hourly Rates,-,PS-TM-L5.1,Principal Consultant Hourly Rate,225
Professional Services,Hourly Rates,-,PS-TM-L5.M4T,Principal Consultant Hourly Rate M4 Inc Trvl.,900
Professional Services,Hourly Rates,-,PS-TM-L5.M2R,Principal Technical Consultant Hourly Rate M2 Remote,450
Professional Services,Hourly Rates,-,PS-TM-L5.1,Senior Architect Hourly Rate,265
Professional Services,Hourly Rates,-,PS-TM-L5.M4T,Senior Architect Hourly Rate M4 Inc Trvl.,1060
Professional Services,Hourly Rates,-,PS-TM-L5.M2R,Senior Architect Hourly Rate M2 Remote,530
Professional Services,Hourly Rates,-,PS-TM-PM.1,Project Manager Hourly Rate,170
Professional Services,Hourly Rates,-,PS-TM-SPM.1,Senior Project Manager Hourly Rate,195
Professional Services,Hourly Rates (VPA),-,PS-BLOCK.BDL.1,Volume Based Pricing Profesional Services Block (DSK Level 1),5000
Professional Services,Hourly Rates (VPA),-,PS-BLOCK.BDL.2,Volume Based Pricing Profesional Services Block (DSK Level 2),10000
Professional Services,Hourly Rates (VPA),-,PS-BLOCK.BDL.3,Volume Based Pricing Profesional Services Block (DSK Level 3),50000
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L1.1,VPA Technician Hourly Rate,85
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L1.M4T,VPA Technician Hourly Rate M4 Inc Trvl.,440
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L1.M2R,VPA Technician Hourly Rate M2 Remo.,220
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L2.1,VPA Senior Technician Hourly Rate,95
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L2.M4T,VPA Senior Technician Hourly Rate M4 Inc Trvl.,380
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L2.M2R,VPA Senior Technician Hourly Rate M2 Remo.,190
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L3.1,VPA Technical Consultant Hourly Rate,120
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L3.M4T,VPA Technical Consultant Hourly Rate M4 Inc Trvl.,480
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L3.M2R,VPA Technical Consultant Hourly Rate M2 Remo.,240
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L4.1,VPA Senior Technical Consultant Hourly Rate,155
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L4.M4T,VPA Senior Technical Consultant Hourly Rate M4 Inc Trvl.,620
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L4.M2R,VPA Senior Technical Consultant Hourly Rate M2 Remo.,310
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L5.1,VPA Principal Consultant Hourly Rate,175
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L5.M4T,VPA Principal Consultant Hourly Rate M4 Inc Trvl.,700
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L5.M2R,VPA Principal Technical Consultant Hourly Rate M2 Remo.,350
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L5.1,VPA Senior Architect Hourly Rate,210
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L5.M4T,VPA Senior Architect Hourly Rate M4 Inc Trvl.,840
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-L5.M2R,VPA Senior Architect Hourly Rate M2 Remo.,420
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-PM.1,VPA Project Manager Hourly Rate,120
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-SPM.1,VPA Senior Project Manager Hourly Rate,155
Professional Services,Hourly Rates (VPA),-,PS-MS-TM-DM.1,VPA Delivery Manager Hourly Rate,120
Managed Services,Licensing,OS,MS-CS-CMX.OS.MSHOST.DC.01,DEDICATED COMPUTE O/S - MICROSOFT WINDOWS DATA CENTER (2 PROCS | P71-01031),346.5
Managed Services,Licensing,OS,MS-CS-CMX.OS.MSHOST.STD.01,"DEDICATED COMPUTE O/S - MICROSOFT WINDOWS STANDARD (< 3 VMs, 2 PROCS | P73-04837)",58.5
Managed Services,Licensing,OS,MS-CS-CMX.OS.RHEHOST.01.01,DEDICATED COMPUTE O/S - RED HAT ENTERPRISE LINUX (PER CPU SOCKET),58.5
Managed Services,Licensing,OS,MS-CS-CMX.OS.ESXHOST.01.01,DEDICATED COMPUTE O/S - VMWARE VSPHERE (PER GByte OF UTILIZED RAM),6.75
Managed Services,Licensing,Application,MS-CS-CMX.APP.EXSTD.01.01,APP - MICROSOFT EXCHANGE STANDARD SAL (ONE REQUIRED FOR EACH USER ACCESSING A HOSTED EXCHANGE SERVER | F08-00025),6.5
Managed Services,Licensing,Application,MS-CS-CMX.APP.SH.01.01,APP - MICROSOFT SHAREPOINT SAL (ONE REQUIRED FOR EACH USER ACCESSING A SHAREPOINT SERVER | 76P-00840),6.5
Managed Services,Licensing,Application,MS-CS-CMX.APP.SQLSTD.01.01,APP - MICROSOFT SQL SERVER STANDARD EDITION (1 LICENSE REQUIRED FOR EVERY 2 CORES | 7NQ-00302),250
Managed Services,Licensing,Application,MS-CS-CMX.APP.SQLWEB.01.01,APP - MICROSOFT SQL SERVER WEB EDITION (1 LICENSE REQUIRED FOR EVERY VM RUNNING SQL SERVER | TFA-00523),20
Managed Services,Networking,Bronze (9x5),MS-FM-5010,Managed Router (2 to 4 ports) Bronze,80
Managed Services,Networking,Bronze (9x5),MS-FM-5020,Managed Router with Firewall Bronze,134
Managed Services,Networking,Bronze (9x5),MS-FM-5021,Managed Cloud Router/VPN Bronze,80
Managed Services,Networking,Bronze (9x5),MS-FM-5030,Managed Router - Additional NIC/VLAN Bronze,40
Managed Services,Networking,Bronze (9x5),MS-FM-5040,Managed WAN - Primary ISP Bronze,46
Managed Services,Networking,Bronze (9x5),MS-FM-5041,Managed WAN - Secondary ISP Bronze,16
Managed Services,Networking,Bronze (9x5),MS-FM-5050,Managed Switch 48 ports Bronze,54
Managed Services,Networking,Bronze (9x5),MS-FM-5051,Managed Switch 24 ports Bronze,46
Managed Services,Networking,Bronze (9x5),MS-FM-5052,Managed Switch L3 Add On Bronze,22
Managed Services,Networking,Bronze (9x5),MS-FM-5060,Managed Office Router 1P (WAN) Bronze,46
Managed Services,Networking,Bronze (9x5),MS-FM-5070,Managed Network Appliance Bronze,46
Managed Services,Networking,Bronze (9x5),MS-FM-6010,Managed Firewall - Primary Bronze,92
Managed Services,Networking,Bronze (9x5),MS-FM-6011,Managed Firewall Service-Fail Over Bronze,52
Managed Services,Networking,Bronze (9x5),MS-FM-6020,Managed Load Balancer-Primary Bronze,134
Managed Services,Networking,Bronze (9x5),MS-FM-6021,Managed Load Balancer Service-Fail Over Bronze,68
Managed Services,Networking,Bronze (9x5),MS-FM-6042,Managed Access Point Controller Bronze,94
Managed Services,Networking,Bronze (9x5),MS-FM-6050,Managed Firewall/Router (Office): Bronze,46
Managed Services,Networking,Bronze (9x5),MS-FM-6080,Managed Access Point Fit (Office) Bronze,28
Managed Services,Networking,Bronze (9x5),MS-FM-6081,Managed Access Point Fat (Office) Bronze,46
Managed Services,Networking,Bronze (9x5),MS-FM-6082,Managed Access Point Fit (Office) > 20 Bronze,9
Managed Services,Networking,Bronze (9x5),MS-FM-6083,Managed Access Point Fat (Office) >20 Bronze,12
Managed Services,Networking,Gold (24x7),MS-FM-5010.G,Managed Router (2 to 4 ports) Gold,150
Managed Services,Networking,Gold (24x7),MS-FM-5020.G,Managed Router with Firewall Gold,250
Managed Services,Networking,Gold (24x7),MS-FM-5021.G,Managed Cloud Router/VPN Gold,150
Managed Services,Networking,Gold (24x7),MS-FM-5030.G,Managed Router - Additional NIC/VLAN Gold,75
Managed Services,Networking,Gold (24x7),MS-FM-5040.G,Managed WAN - Primary ISP Gold,85
Managed Services,Networking,Gold (24x7),MS-FM-5041.G,Managed WAN - Secondary ISP Gold,30
Managed Services,Networking,Gold (24x7),MS-FM-5050.G,Managed Switch 48 ports Gold,100
Managed Services,Networking,Gold (24x7),MS-FM-5051.G,Managed Switch 24 ports Gold,85
Managed Services,Networking,Gold (24x7),MS-FM-5052.G,Managed Switch L3 Add On Gold,40
Managed Services,Networking,Gold (24x7),MS-FM-5060 .G,Managed Office Router 1P (WAN) Gold,85
Managed Services,Networking,Gold (24x7),MS-FM-5070 .G,Managed Network Appliance Gold,85
Managed Services,Networking,Gold (24x7),MS-FM-6010.G,Managed Firewall - Primary Gold,170
Managed Services,Networking,Gold (24x7),MS-FM-6011.G,Managed Firewall Service-Fail Over Gold,95
Managed Services,Networking,Gold (24x7),MS-FM-6020.G,Managed Load Balancer-Primary Gold,250
Managed Services,Networking,Gold (24x7),MS-FM-6021.G,Managed Load Balancer Service-Fail Over Gold,125
Managed Services,Networking,Gold (24x7),MS-FM-6042 .G,Managed Access Point Controller Gold,175
Managed Services,Networking,Gold (24x7),MS-FM-6050.G,Managed Firewall/Router (Office): Gold,85
Managed Services,Networking,Gold (24x7),MS-FM-6080.G,Managed Access Point Fit (Office) Gold,50
Managed Services,Networking,Gold (24x7),MS-FM-6081.G,Managed Access Point Fat (Office) Gold,85
Managed Services,Networking,Gold (24x7),MS-FM-6082.G,Managed Access Point Fit (Office) > 20 Gold,16
Managed Services,Networking,Gold (24x7),MS-FM-6083.G,Managed Access Point Fat (Office) >20 Gold,20
Managed Services,Networking,Silver (12x5),MS-FM-5010.S,Managed Router (2 to 4 ports) Silver,100
Managed Services,Networking,Silver (12x5),MS-FM-5020.S,Managed Router with Firewall Silver,167
Managed Services,Networking,Silver (12x5),MS-FM-5021.S,Managed Cloud Router/VPN Silver,100
Managed Services,Networking,Silver (12x5),MS-FM-5030.S,Managed Router - Additional NIC/VLAN Silver,50
Managed Services,Networking,Silver (12x5),MS-FM-5040.S,Managed WAN - Primary ISP Silver,57
Managed Services,Networking,Silver (12x5),MS-FM-5041.S,Managed WAN - Secondary ISP Silver,20
Managed Services,Networking,Silver (12x5),MS-FM-5050.S,Managed Switch 48 ports Silver,67
Managed Services,Networking,Silver (12x5),MS-FM-5051.S,Managed Switch 24 ports Silver,57
Managed Services,Networking,Silver (12x5),MS-FM-5052.S,Managed Switch L3 Add On Silver,27
